number,hex
374,a67d22
360,281308
176,5a71bc
88,b81782
1390,b29856
162,0861ad
189,0a878b
77,d3427d
63,e53a86
1347,3c90c3
1353,d2d68d
943,d8b34d
228,0a6c14
214,aad1a7
1019,824341
1031,d0e6f1
1025,a90b09
1024,cd3b36
1030,7056c3
1018,a26568
215,79bd87
229,08580e
956,dbcfa5
942,f3dd91
1352,abbf8d
62,f56bb2
188,0ba4a3
76,e67092
177,293c8b
1385,a26f18
89,b71276
361,f2de92
375,926715
349,ae550e
363,dfa823
388,c9b784
149,05134d
161,48a1d2
175,678ec7
60,f3b1d6
74,f7cddd
48,f8e9ed
1344,c7e6f0
1218,bc6817
940,085aac
968,f2c9c4
217,0a823e
203,94ddb4
1026,f7eae1
1032,a3c4d7
1033,88a9c7
1027,b15249
216,33a86d
969,d39297
941,173d93
1345,7cb7c3
49,f4d7e0
75,f69dcb
160,97cae7
148,07296a
376,d8bc9a
410,0974e6
362,e9be57
366,ecd49b
400,434a49
372,e1c583
399,838984
164,083380
170,09448a
158,daf2f5
1355,3e601d
59,b12132
65,a71745
831,d8cca7
979,094e93
1209,dbb3d5
945,c4bb61
212,0b6a2d
206,bae7ca
1023,e6625b
1037,e4eef0
1036,08264d
1022,ee8a78
213,d0e1c8
944,704310
978,3584b9
1220,f3c15c
9046,c90607
70,440613
830,e1d9bb
159,b2d8f2
398,a9aba8
373,bc9a44
367,eecf93
401,232828
371,71320c
403,141414
365,ab710e
359,311107
167,8bd0de
99,9736ab
1342,e0eff1
8,f5ab98
832,b0a35f
72,300506
66,f190c0
205,27b980
211,0b843e
239,28a214
1034,436f8d
1020,f6d4cf
1008,d9a77e
1009,f7f1d7
1021,f0aea3
1035,0e324c
238,58b93a
210,0b9a4a
204,71d2a6
73,f8e0e9
9,f47b69
98,b065c2
358,522909
370,87440d
303,f7c207
897,4f0d0d
129,7ca9e0
883,c5773e
101,450c70
854,c2b66c
1318,f2dfcb
868,efa87b
28,f43c66
920,6d9caf
263,0a3a09
277,75560e
288,f9f76b
1046,b5780e
1047,f1b339
289,f7f33c
1084,947b4b
276,f2e6d0
262,306921
1090,4fcdf3
921,406d7d
1325,7860b9
29,e81f42
869,c9b9bc
855,b6a447
100,76218a
882,e8a271
896,983a3a
128,afd0ec
302,f6db32
316,f87007
328,f48849
300,f9f8c3
314,f69908
880,f0daba
894,e1998d
102,1a0654
843,aabe53
923,084812
274,dbeaea
1086,4f4218
1092,d2f5f4
260,c3d39b
1045,d2a338
1050,5e4010
1044,073b07
261,8ec27c
275,f9f9e9
922,335b66
936,693910
5975,b93212
856,7c811b
842,d2d99e
117,99a8df
103,f6dbf4
895,dc7e79
881,f0d4a1
301,f8f293
329,f66c1e
305,f5e84c
311,f5de63
339,c0310c
885,f7f3d4
891,ebcb50
846,13310a
852,efe8c2
926,f3f2e1
271,f3e5df
265,aecb6c
259,e7eec6
1040,7a9075
1068,0a5d83
1041,758b70
258,218410
264,c9dc9b
1096,a8c3cc
1082,b4a37d
933,eedcbb
13,bd1609
853,cbc28c
847,dceae1
890,dbb526
884,b64f14
112,31197f
338,e05f28
310,6d3510
304,f89809
306,edbb0f
110,7a63ce
892,f3e1cb
886,e9daa4
879,084110
1335,ccdeb4
39,da3f4b
851,0b465e
11,ed5c37
845,66700d
925,f75108
1094,f4c1e1
266,83b22a
1080,ddccaa
1043,d7ebc6
298,f8dc05
1042,d3ead5
273,272f15
267,51910d
924,50710e
844,778b0f
10,f1715a
850,72a8ab
38,f55884
878,0c6f32
1320,e299b2
887,e1d080
139,072b82
893,ecc2b1
111,5c38a9
307,da9d0c
313,f8cd44
336,eea06d
108,c8b5ea
134,041852
120,b5d1ee
875,9cd6bb
35,f13333
861,236b1c
849,a3c4c3
1305,e2a413
901,b58710
1098,f21b11
242,74c07e
256,4d970e
281,65820c
295,f5ec57
1066,0a82a2
280,c0bb1c
1072,4dcab9
257,368b13
243,4fa55a
928,a0d9e7
914,c68955
900,aebca5
1304,e5d11c
848,bed1cd
20,6c0706
860,709e5d
874,e5cc60
121,82a6d9
109,a78dd8
323,f48a2a
337,e87d41
309,8c4f0c
335,f90a04
123,0e2976
137,285aad
889,77570e
862,08440c
22,480505
876,55ba90
36,f7c6c9
269,124a08
255,80b416
241,9cd28c
1064,63bccf
1070,78dccd
297,f9e307
240,b0d49b
254,c6dc73
268,11720a
903,716327
877,13955f
23,f7d8e1
136,507ec2
888,b7a228
122,3361a4
334,f80e04
308,b6750e
324,f46d09
330,f75108
9575,f29a69
898,998738
132,073795
683,083c1b
1303,f5ef97
27,f56fa2
873,452f3e
33,f5697b
9159,bce2f4
907,cdb40e
244,0e832e
278,eaea6b
293,f8f482
1049,bb5b0b
1048,d3720c
1074,11b4a1
1060,cbeaee
292,f8f7b8
279,d1d00c
245,08700d
906,41270a
872,6a546b
26,f594b8
1302,ebe6e7
1316,aa0d14
133,062d8b
127,040527
899,b9ab87
333,f82c08
131,1961bd
119,3d29a1
1300,f2eedb
858,afc59d
870,aa9aa9
24,f6cfd6
904,3c370c
253,d7e894
1089,06a8f5
1076,0da693
290,faf205
1062,a3d7df
291,faee05
1088,1a0f07
